Date,PWSA,ABC,GTI,PAS,PEPC,PPAP,PPSP,CGSM,MJQE
6/20/2025,0,0.002886005,-0.009302393,0,-0.007380107,0.005865119,0,-0.004123717,0.004938282
6/19/2025,0.003081667,0,-0.00231214,0.01137299,0.003683245,0.013323661,-0.004705891,0.004123717,-0.004938282
6/17/2025,0.00619197,0.002894358,-0.004608303,0.001635323,0.007407441,0.001491425,0.004705891,0,0.004938282
6/16/2025,0.003110422,-0.002894358,0.047067511,0.003278691,-0.007407441,0,-0.004705891,-0.004123717,0
6/13/2025,0.012539349,0.002894358,0.036813973,0.00824407,0.007407441,0.001493652,0.004705891,0,0
6/12/2025,0.00315956,0,-0.007472015,-0.00165426,0.022557347,0.002994014,-0.004705891,0,0
6/11/2025,0,0,-0.004950505,-0.008230499,-0.015094626,-0.002994014,0.004705891,0.004123717,0
6/10/2025,0,0,0.01492565,0,0,-0.002985077,0.014252023,0,0
6/9/2025,0,0,0.005025136,-0.001638002,-0.003738322,0.001491425,-0.014252023,0.004140793,0
6/6/2025,0,-0.002894358,0.005050516,0.008216973,-0.014815086,0,0,-0.004140793,-0.004938282
6/5/2025,0,0.002894358,-0.010075652,0,0.014815086,0,0,0.004140793,0
6/4/2025,0,0,0.002509412,0.009950331,-0.01113184,0,0,-0.016461277,0.004938282
6/3/2025,0,0,0.025446666,0.001668057,-0.003683245,-0.001491425,-0.004705891,0.004089985,-0.004938282
6/2/2025,0,-0.002894358,-0.032956088,0,-0.003669729,0.001491425,0.004705891,0.004106782,0.004938282
5/30/2025,0,0.005797118,0.00500001,0.005020931,-0.003656311,0,0,0.00826451,0
5/29/2025,0.003169575,0,-0.01492565,-0.005020931,0,-0.017751945,-0.004705891,0,0
5/28/2025,-0.003169575,-0.00290276,-0.012270093,0.005020931,0,0.019245598,-0.009345862,0,0
5/27/2025,0.003169575,0,0,0.001679262,0.025879448,-0.001493652,0,0,-0.004938282
5/26/2025,-0.003169575,0,0.019705071,0,-0.025879448,0,-0.00464038,0,0.004938282
5/23/2025,0,-0.002894358,-0.002484473,0.010135222,0.014706147,-0.014815086,0.00464038,-0.004140793,0
5/22/2025,0,0,-0.004950505,-0.001696353,-0.018349139,-0.023256862,0.009345862,0,0.004962789
5/21/2025,0,-0.005763705,0.00992564,0,-0.014440684,0,0.004705891,0.004140793,-0.004962789
5/20/2025,0,0.008658063,0.027814688,-0.005071862,0.070530151,-0.00143575,0,0,0
5/19/2025,0,-0.002894358,0.052643733,-0.005046268,-0.070530151,-0.005722476,0.004728141,-0.004140793,0
5/16/2025,0.003169575,0.002894358,0.047034949,-0.006688988,-0.003577821,-0.00710735,-0.004728141,0.004140793,-0.004938282
5/13/2025,0,0,-0.011267725,0.001668057,-0.003565066,-0.005649733,0,-0.004140793,-0.004914015
5/12/2025,0,-0.002894358,0.005617992,0,0.081526608,0,0.004728141,0.004140793,0
5/9/2025,0,0.002894358,0.002820876,0.003344485,-0.048974005,0.004234304,-0.004728141,0,-0.052518034
5/8/2025,0.006369448,0.00581397,-0.005633818,0.001676446,0.060624622,-0.001413428,0,0,-0.00464038
5/7/2025,-0.006369448,-0.00581397,-0.002805051,-0.003350087,-0.053244515,-0.001411433,0.009478744,0.00415801,-0.009216655
5/6/2025,-0.003169575,-0.028573372,0,-0.001670844,-0.029199155,-0.001409444,0,-0.00415801,0.004597709
5/5/2025,0.003169575,-0.008415197,0.008438869,0.003344485,0.086357569,0.007067167,-0.004750603,0,0.004618946
5/2/2025,-0.003169575,0.005602256,-0.002820876,-0.001673641,-0.027080959,0.001419447,0,-0.004140793,-0.013793322
4/30/2025,0,0.002812941,0.02279301,0.005029348,-0.030077455,-0.00425231,-0.004728141,0.004140793,0.027779564
4/29/2025,0,0,-0.019972133,-0.003355708,-0.036367644,0.009950331,-0.004705891,0.00415801,0
4/28/2025,-0.00315956,-0.002812941,-0.002820876,0,0.074107972,-0.008534902,0,0,-0.004683849
4/25/2025,0.00315956,0.008462674,-0.005617992,0.006722714,0.007722046,0,0,0,0.00938974
4/24/2025,-0.00315956,0,0,-0.003367007,-0.003868477,0,0.004705891,-0.008298803,0
4/23/2025,0.006329135,0.002836881,0.093910599,0.005054771,-0.003853569,0.001417435,0.009478744,0.004140793,0.004728141
4/22/2025,0.003179653,0,0.003081667,-0.001687764,-0.011472401,0,-0.014184635,-0.00826451,0
4/21/2025,0.003189795,0.002844952,-0.003081667,-0.00168492,0.023077947,0.007117468,0,0.004123717,-0.004728141
4/18/2025,-0.003189795,-0.002844952,0,-0.001682086,-0.023077947,0.007168489,-0.009345862,0,0
4/17/2025,-0.003179653,-0.002836881,0.0217738,0.003367007,-0.007575794,-0.007168489,0,0.004140793,-0.004705891
4/11/2025,0.003179653,0.002836881,0.012658397,0,0.030653741,-0.002853069,-0.009259325,-0.004140793,0.009434032
4/10/2025,0.003189795,0.008559253,0,0,0,0.002853069,0.009259325,0,0
4/9/2025,-0.006369448,-0.008559253,-0.015798117,0.001687764,-0.0038835,-0.001427552,-0.009259325,0.008298803,0.004750603
4/8/2025,0.003179653,0,-0.009360443,0.017036187,0.00778214,0.001427552,0.013921339,0.004175371,-0.004750603
4/7/2025,-0.003179653,0.005698021,0.00623055,-0.013652089,-0.015504187,0,-0.004662013,-0.012474174,0.004750603
4/4/2025,0.003179653,-0.005698021,-0.01242252,-0.003384098,-0.019048195,-0.008534902,-0.00464038,0,0
4/3/2025,-0.009508788,-0.008486614,-0.003081667,0.003384098,-0.011257155,0.002836881,-0.009216655,0,-0.004750603
4/2/2025,-0.003149609,0.011331566,0.003081667,0.001696353,0.022642477,0,0.009216655,0,0.004750603
4/1/2025,-0.006269613,-0.016949558,-0.003081667,-0.003389834,0,0,-0.018349139,-0.004123717,-0.004750603
3/31/2025,-0.003120127,-0.022161572,0.003081667,-0.00842465,-0.007604599,-0.001419447,-0.004535155,0,0
3/28/2025,0.003120127,0,0.021841742,-0.001676446,0,-0.001417435,0,-0.004106782,0
3/27/2025,0.003129893,0,0.028801991,0.001676446,0,0,0,0.004106782,0
3/26/2025,0,0,0.019672766,0,0.015267472,0,-0.00451468,0,0.004750603
3/25/2025,-0.003129893,0.002743486,0.006644543,0,0.007722046,0.001417435,0.00451468,0,-0.004750603
3/24/2025,0.003129893,-0.005479466,0.003338901,0,0,0,0.009090972,0,-0.004728141
3/21/2025,0.00313972,0,-0.009983444,0.001679262,0,0.001419447,-0.009090972,0,0
3/20/2025,0,0,0.006644543,-0.001679262,0.0038835,0,0.004535155,-0.004106782,0
3/19/2025,0,0.00273598,-0.00332779,0.001679262,0.00389864,0.001421464,0,0,0
3/18/2025,0.003149609,-0.00273598,0,0,0.007843177,-0.001421464,0.009132484,0,0
3/17/2025,0,0.00273598,-0.003316753,0.003367007,0.003944778,0.002844952,-0.004576667,0.004106782,0
3/14/2025,0,-0.00273598,-0.003305788,-0.003367007,0.003960401,0.004282662,0.004576667,-0.004106782,0
3/13/2025,0,0.00273598,0,0,-0.027398974,-0.002857145,0.004597709,0.004106782,0.004728141
3/12/2025,0.00315956,-0.005464494,0.006622541,0.008438869,-0.007692346,-0.002849005,-0.004597709,-0.004106782,0
3/11/2025,-0.00315956,0.002728515,0,0,0,-0.001421464,0.009216655,0,-0.004728141
3/10/2025,-0.003149609,0,-0.013201512,0,-0.003824096,-0.00707717,-0.009216655,0,0
3/7/2025,0,0,0.003284075,-0.008438869,-0.007604599,0,0.004597709,0.004106782,0
3/6/2025,0.009478744,-0.002728515,-0.003284075,0.001682086,0.070617567,-0.001409444,0,-0.004106782,0.004728141
3/5/2025,0,0.002728515,0.006578971,0,-0.012121361,-0.013986242,0.004618946,0,0
3/4/2025,0,0.005479466,0,0.003372684,0.02851517,0.001389854,0.00464038,0,0
3/3/2025,0.003179653,-0.00820798,0.003305788,0,-0.004123717,-0.023368761,0,0,0
2/28/2025,-0.003179653,-0.008141158,0.003316753,0,-0.028399475,0,-0.00464038,0,0
2/27/2025,0.006369448,0.008141158,0,0,-0.003992021,-0.005420067,0,0,0
2/26/2025,-0.003189795,0.01648389,-0.013201512,0,0.012024193,-0.005390849,-0.004618946,0.004106782,0.004750603
2/25/2025,-0.003179653,-0.005524876,0.003284075,0.003384098,0,0.034179677,0.004618946,0,-0.004750603
2/24/2025,0.009569451,0.008298803,0,0.013652089,0.00809721,0.001391789,0,0,0.009523882
2/21/2025,-0.003200003,0,-0.003284075,-0.0051414,0.012270093,0.004187026,0,0,0
2/20/2025,-0.003189795,0.002781643,-0.003273325,-0.01020417,-0.012270093,0.015504187,-0.004618946,0,-0.009523882
2/19/2025,0,-0.002781643,-0.003262646,0.001693481,0,0.004270469,0.004618946,0,0
2/18/2025,0,-0.002773927,0.006535971,-0.001693481,-0.032002731,0,0.00464038,0,0
2/17/2025,0,0.002773927,0,0,0.036076056,-0.002849005,-0.009259325,0,0.009523882
2/14/2025,0.003189795,0,0.016529302,-0.001690617,0.020619287,-0.005673774,0.004618946,0,0.004796172
2/13/2025,0,0,0,0,0,0.001415428,0,0.004123717,-0.004796172
2/12/2025,0,0,0.072570693,0,-0.01242252,0.004258346,0,-0.008230499,0
2/11/2025,-0.003189795,-0.002773927,0.010810916,-0.003372684,0.004123717,-0.015526071,0.00464038,0,0.004796172
